credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,tasa_outlier,mora_30,max_dias_mora_6m,pct_pagadas_tiempo,n_cuotas_con_mora,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,score_externo,canal_adquisicion,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,score_externo_nulo,edad_sospechosa,total_eventos,dias_activo,logins,pagos_iniciados,pagos_exitosos,pagos_fallidos,consultas_saldo,simulaciones_credito,solicitudes_soporte,pct_exitosos,pct_abandonados,sesion_promedio_seg,tasa_conversion_pago
CR000338,CL00305,2025-06-26,Crédito consumo digital,3900000,3,0.095,1355000,App,885,0.4689,Manual,Mora moderada,0,1,50,0.6666666666666666,1,36,M,2,Técnico/Tecnólogo,Empleado,2890000.0,652.0,Referido,False,1,Android,0,0,9,438,1,0,1,1,2,0,2,0.6666666666666666,0.0,174.33333333333334,0.0
CR000339,CL00306,2025-03-11,Crédito consumo digital,1000000,3,0.0377,359000,Web,878,0.1397,Automática,Finalizado,0,0,14,0.6666666666666666,1,37,F,1,Técnico/Tecnólogo,Empleado,-1.0,511.0,Aliado comercial,False,1,Android,0,0,8,729,3,1,0,2,1,1,0,0.625,0.125,115.25,0.0
CR000340,CL00307,2025-10-12,Microcrédito,3200000,12,0.0373,336000,App,766,0.1028,Automática,Activo,0,0,0,1.0,0,49,M,1,Posgrado,Empleado,3270000.0,641.0,Campaña digital,False,1,Web,0,0,9,423,4,2,2,0,0,0,0,1.0,0.0,132.44444444444446,1.0
CR000341,CL00308,2025-10-06,Crédito consumo digital,450000,24,0.0321,27000,Aliado,776,0.0173,Automática,Mora severa,0,1,60,0.8333333333333334,1,30,F,1,Sin información,Empleado,1560000.0,522.0,App orgánico,False,3,iOS,0,0,20,78,8,3,1,1,2,1,1,0.85,0.05,135.65,0.3333333333333333
CR000342,CL00308,2026-02-15,Microcrédito,850000,6,0.044,164000,App,827,0.1051,Automática,Activo,0,0,15,0.3333333333333333,1,30,F,1,Sin información,Empleado,1560000.0,522.0,App orgánico,False,3,iOS,0,0,20,78,8,3,1,1,2,1,1,0.85,0.05,135.65,0.3333333333333333
CR000343,CL00308,2025-09-11,Crédito consumo digital,500000,3,0.0381,180000,Web,837,0.1154,Automática,Finalizado,0,0,0,1.0,0,30,F,1,Sin información,Empleado,1560000.0,522.0,App orgánico,False,3,iOS,0,0,20,78,8,3,1,1,2,1,1,0.85,0.05,135.65,0.3333333333333333
CR000344,CL00309,2026-02-02,Microcrédito,4900000,3,0.0277,1725000,Web,742,0.4345,Manual,Activo,0,0,6,0.0,2,41,F,3,Bachiller,Empleado,3970000.0,565.0,App orgánico,False,0,Android,0,0,10,905,4,2,0,2,2,0,0,0.8,0.0,154.2,0.0
CR000346,CL00312,2025-03-04,Crédito libre inversión,3300000,6,0.0338,617000,Aliado,900,0.2742,Automática,Mora moderada,0,1,58,0.6666666666666666,2,47,M,4,Bachiller,Empleado,2250000.0,611.0,Aliado comercial,True,0,Android,0,0,10,944,3,3,0,0,2,0,2,0.7,0.1,150.7,0.0
CR000347,CL00312,2025-09-27,Crédito libre inversión,2300000,12,0.018,215000,App,853,0.0956,Automática,Activo,0,0,0,1.0,0,47,M,4,Bachiller,Empleado,2250000.0,611.0,Aliado comercial,True,0,Android,0,0,10,944,3,3,0,0,2,0,2,0.7,0.1,150.7,0.0
CR000348,CL00313,2025-09-06,Crédito consumo digital,800000,6,0.0261,146000,App,886,0.0954,Automática,Finalizado,0,0,0,1.0,0,44,F,1,Técnico/Tecnólogo,Pensionado,1530000.0,601.0,Aliado comercial,False,0,Android,0,0,10,99,4,0,0,1,2,0,2,0.6,0.1,167.4,0.0
CR000349,CL00314,2025-02-25,Crédito libre inversión,6000000,18,0.0329,447000,Web,900,0.1077,Automática,Mora moderada,0,1,37,0.6666666666666666,2,44,F,4,Universitario,Conductor/Repartidor,4150000.0,675.0,Aliado comercial,False,1,Web,0,0,14,898,2,2,1,0,4,1,4,0.5714285714285714,0.14285714285714285,137.35714285714286,0.5
CR000351,CL00317,2025-10-13,Avance de nómina,2850000,6,0.0232,514000,App,900,0.1346,Automática,Mora moderada,0,1,52,0.6666666666666666,2,43,M,4,Bachiller,Independiente,3820000.0,571.0,Campaña digital,False,0,Android,0,0,10,225,4,0,1,1,3,1,0,0.7,0.2,170.5,0.0
CR000352,CL00318,2023-09-26,Crédito consumo digital,4150000,6,0.0214,744000,App,858,0.1679,Automática,Finalizado,0,0,0,1.0,0,33,M,2,Universitario,Microempresario,4430000.0,633.0,Call center,False,1,Web,0,0,5,512,2,1,0,0,2,0,0,1.0,0.0,102.8,0.0
CR000353,CL00319,2025-06-12,Microcrédito,1200000,24,0.0339,74000,App,832,0.0404,Automática,Activo,0,0,0,1.0,0,39,M,3,Bachiller,Independiente,1830000.0,559.0,Referido,False,1,iOS,0,0,17,782,2,4,3,0,6,0,2,0.7647058823529411,0.11764705882352941,132.88235294117646,0.75
CR000354,CL00319,2025-05-28,Crédito consumo digital,850000,9,0.0249,107000,Web,791,0.0585,Automática,Finalizado,0,0,1,0.8333333333333334,1,39,M,3,Bachiller,Independiente,1830000.0,559.0,Referido,False,1,iOS,0,0,17,782,2,4,3,0,6,0,2,0.7647058823529411,0.11764705882352941,132.88235294117646,0.75
CR000355,CL00320,2025-10-03,Crédito consumo digital,3300000,9,0.0381,440000,Web,900,0.0743,Automática,Activo,0,0,0,1.0,0,35,F,3,Técnico/Tecnólogo,Empleado,5920000.0,713.0,Aliado comercial,True,2,Android,0,0,9,442,1,0,2,0,3,1,2,0.7777777777777778,0.0,159.11111111111111,0.0
CR000356,CL00321,2025-10-01,Crédito consumo digital,1550000,6,0.0317,288000,Aliado,900,0.0567,Automática,Finalizado,0,0,0,1.0,0,37,M,2,Universitario,Empleado,5080000.0,714.0,App orgánico,False,1,Android,0,0,17,608,1,1,4,0,8,1,0,0.8235294117647058,0.17647058823529413,154.76470588235293,4.0
CR000357,CL00321,2025-08-05,Crédito libre inversión,5600000,3,0.0276,1971000,App,900,0.388,Manual,Finalizado,0,0,0,1.0,0,37,M,2,Universitario,Empleado,5080000.0,714.0,App orgánico,False,1,Android,0,0,17,608,1,1,4,0,8,1,0,0.8235294117647058,0.17647058823529413,154.76470588235293,4.0
CR000358,CL00322,2025-12-14,Crédito consumo digital,3750000,12,0.0336,385000,Web,767,0.1546,Automática,Activo,0,0,6,0.6,1,42,F,3,Universitario,Empleado,2490000.0,564.0,Campaña digital,True,0,iOS,0,0,15,201,2,3,3,0,2,3,2,0.6,0.26666666666666666,157.8,1.0
CR000360,CL00323,2024-09-29,Crédito libre inversión,8050000,6,0.0207,1440000,App,750,0.5333,Manual,Finalizado,0,0,3,0.6666666666666666,2,28,F,3,Universitario,Conductor/Repartidor,2700000.0,616.0,Campaña digital,True,0,iOS,0,0,8,635,2,1,2,0,3,0,0,1.0,0.0,212.625,2.0
CR000361,CL00324,2025-07-01,Microcrédito,2500000,3,0.0358,894000,Aliado,900,0.3679,Manual,Finalizado,0,0,0,1.0,0,57,M,3,Bachiller,Comerciante,2430000.0,663.0,Campaña digital,False,0,Web,0,0,5,203,3,0,0,0,1,0,0,0.6,0.4,130.8,0.0
CR000362,CL00325,2024-08-22,Crédito libre inversión,7200000,3,0.0335,2563000,Web,296,1.5821,Excepción,Mora moderada,0,1,59,0.0,3,26,M,1,Sin información,Conductor/Repartidor,1620000.0,588.0,Campaña digital,False,0,iOS,1,0,8,694,5,0,0,0,1,0,2,0.75,0.0,230.0,0.0
CR000363,CL00327,2024-09-30,Crédito libre inversión,1200000,3,0.0274,422000,App,731,0.6594,Excepción,Mora moderada,0,1,57,0.3333333333333333,2,48,F,2,Bachiller,Desempleado,640000.0,495.0,App orgánico,False,1,Android,0,0,9,597,4,2,1,0,1,0,1,0.7777777777777778,0.1111111111111111,171.22222222222223,0.5
CR000364,CL00328,2025-03-12,Microcrédito,2500000,3,0.0382,898000,Call center,860,0.2897,Automática,Finalizado,0,0,0,1.0,0,44,F,5,Bachiller,Empleado,3100000.0,688.0,Aliado comercial,True,0,Web,0,0,19,1011,4,2,6,1,4,0,2,0.631578947368421,0.21052631578947367,159.26315789473685,3.0
CR000365,CL00328,2024-09-19,Crédito consumo digital,1950000,6,0.0266,356000,App,896,0.1148,Automática,Finalizado,0,0,0,1.0,0,44,F,5,Bachiller,Empleado,3100000.0,688.0,Aliado comercial,True,0,Web,0,0,19,1011,4,2,6,1,4,0,2,0.631578947368421,0.21052631578947367,159.26315789473685,3.0
CR000366,CL00328,2025-04-09,Crédito consumo digital,1150000,6,0.0306,213000,App,900,0.0687,Automática,Finalizado,0,0,0,1.0,0,44,F,5,Bachiller,Empleado,3100000.0,688.0,Aliado comercial,True,0,Web,0,0,19,1011,4,2,6,1,4,0,2,0.631578947368421,0.21052631578947367,159.26315789473685,3.0
CR000367,CL00329,2025-12-22,Crédito consumo digital,2050000,9,0.0209,252000,Web,900,0.0708,Automática,Activo,0,0,0,1.0,0,42,F,3,Universitario,Empleado,3560000.0,757.0,Aliado comercial,False,0,Android,0,0,11,301,5,1,1,0,2,1,1,0.8181818181818182,0.09090909090909091,227.63636363636363,1.0
CR000368,CL00332,2024-05-11,Crédito consumo digital,1750000,6,0.0352,329000,App,767,0.1388,Automática,Finalizado,0,0,0,1.0,0,27,M,3,Bachiller,Comerciante,2370000.0,571.0,Referido,False,0,Android,0,0,10,613,1,3,1,0,2,0,2,0.7,0.1,139.6,0.3333333333333333
CR000369,CL00333,2025-01-25,Avance de nómina,1250000,3,0.0308,443000,Web,781,0.2395,Automática,Mora moderada,0,1,38,0.6666666666666666,1,37,M,3,Bachiller,Microempresario,1850000.0,555.0,Aliado comercial,False,1,Android,0,0,17,933,3,4,2,0,6,0,2,0.6470588235294118,0.23529411764705882,142.8235294117647,0.5
CR000370,CL00334,2024-03-15,Crédito consumo digital,1000000,6,0.0322,186000,App,704,0.0886,Automática,Finalizado,0,0,14,0.8333333333333334,1,29,F,2,Universitario,Independiente,2100000.0,454.0,Referido,True,4,Android,0,0,11,1142,2,2,2,1,3,0,0,0.8181818181818182,0.09090909090909091,115.27272727272727,1.0
CR000371,CL00335,2026-02-08,Crédito consumo digital,1400000,3,0.0271,492000,Aliado,900,0.1386,Automática,Activo,0,0,0,0.6666666666666666,0,46,F,2,Sin información,Independiente,3550000.0,597.0,Campaña digital,False,1,Android,0,0,10,628,2,2,1,0,2,1,2,0.7,0.1,156.2,0.5
CR000372,CL00336,2024-10-04,Microcrédito,2800000,12,0.0414,301000,Aliado,830,0.1091,Automática,Finalizado,0,0,0,1.0,0,35,F,4,Técnico/Tecnólogo,Conductor/Repartidor,2760000.0,583.0,App orgánico,False,2,iOS,0,0,12,784,6,3,0,0,1,1,1,0.75,0.16666666666666666,111.75,0.0
CR000373,CL00340,2024-01-01,Microcrédito,5450000,9,0.0359,719000,App,900,0.1692,Automática,Finalizado,0,0,10,0.8333333333333334,1,30,M,3,Posgrado,Empleado,4250000.0,666.0,Aliado comercial,True,3,Android,0,0,7,942,2,3,1,0,0,1,0,0.7142857142857143,0.2857142857142857,153.28571428571428,0.3333333333333333
CR000374,CL00341,2025-07-26,Microcrédito,950000,9,0.0435,130000,Web,699,0.0818,Automática,Mora severa,0,1,67,0.5,3,28,F,6,Universitario,Desempleado,1590000.0,531.0,App orgánico,True,1,Android,0,0,9,255,2,5,1,0,0,0,1,0.7777777777777778,0.1111111111111111,159.11111111111111,0.2
CR000376,CL00344,2025-05-11,Crédito consumo digital,1650000,6,0.0255,300000,App,881,0.1887,Automática,Finalizado,0,0,11,0.6666666666666666,2,31,F,2,Universitario,Independiente,1590000.0,548.0,App orgánico,True,2,Android,0,0,15,446,4,1,1,1,4,0,2,0.7333333333333333,0.06666666666666667,201.66666666666666,1.0
CR000377,CL00344,2025-12-18,Crédito consumo digital,900000,9,0.033,117000,Aliado,838,0.0736,Automática,Activo,0,0,12,0.75,1,31,F,2,Universitario,Independiente,1590000.0,548.0,App orgánico,True,2,Android,0,0,15,446,4,1,1,1,4,0,2,0.7333333333333333,0.06666666666666667,201.66666666666666,1.0
CR000378,CL00345,2025-09-11,Microcrédito,850000,9,0.0445,117000,Call center,585,0.2089,Manual,Mora moderada,0,1,59,0.0,6,31,M,3,Sin información,Desempleado,560000.0,401.0,Campaña digital,True,0,iOS,0,0,13,297,3,1,1,0,2,3,2,0.6153846153846154,0.23076923076923078,210.69230769230768,1.0
CR000379,CL00345,2026-01-29,Crédito consumo digital,550000,12,0.0202,52000,Aliado,694,0.0929,Automática,Mora moderada,0,1,32,0.3333333333333333,2,31,M,3,Sin información,Desempleado,560000.0,401.0,Campaña digital,True,0,iOS,0,0,13,297,3,1,1,0,2,3,2,0.6153846153846154,0.23076923076923078,210.69230769230768,1.0
CR000381,CL00347,2026-02-12,Microcrédito,2100000,9,0.04,282000,App,805,0.1097,Automática,Mora moderada,0,1,49,0.3333333333333333,1,22,F,2,Bachiller,Pensionado,1980000.0,560.0,App orgánico,False,2,iOS,0,0,9,350,3,1,0,2,2,0,1,0.5555555555555556,0.1111111111111111,119.66666666666667,0.0
CR000382,CL00348,2025-08-09,Crédito libre inversión,1950000,6,0.0305,361000,App,797,0.1778,Automática,Mora moderada,0,1,58,0.5,3,22,No informa,3,Sin información,Empleado,2030000.0,565.0,App orgánico,False,2,Android,0,0,9,179,1,0,3,0,1,1,3,0.6666666666666666,0.0,162.0,0.0
CR000383,CL00349,2025-06-17,Crédito consumo digital,1700000,12,0.0306,171000,App,900,0.052,Automática,Mora moderada,0,1,34,0.8333333333333334,1,29,F,3,Sin información,Empleado,3290000.0,604.0,Campaña digital,False,0,Android,0,0,11,535,5,1,1,0,2,0,1,0.8181818181818182,0.09090909090909091,154.54545454545453,1.0
CR000384,CL00351,2024-11-15,Avance de nómina,700000,6,0.0309,130000,Web,778,0.0553,Automática,Mora moderada,0,1,52,0.8333333333333334,1,39,M,2,Técnico/Tecnólogo,Empleado,2350000.0,591.0,App orgánico,True,0,iOS,0,0,5,646,1,1,0,0,1,1,0,0.8,0.2,124.0,0.0
CR000385,CL00352,2025-03-05,Crédito consumo digital,1300000,6,0.0206,233000,App,822,0.1438,Automática,Finalizado,0,0,20,0.8333333333333334,1,51,M,3,Técnico/Tecnólogo,Empleado,1620000.0,674.0,Campaña digital,False,0,Android,0,0,4,837,1,0,0,1,1,0,1,0.25,0.25,158.25,0.0
CR000386,CL00353,2023-06-02,Crédito libre inversión,18800000,6,0.017,3323000,Aliado,900,0.3323,Automática,Finalizado,0,0,0,1.0,0,45,F,4,Bachiller,Empleado,10000000.0,826.0,Campaña digital,True,2,Android,0,0,11,954,1,1,2,0,1,3,1,0.9090909090909091,0.0,195.72727272727272,2.0
CR000387,CL00354,2025-05-30,Crédito consumo digital,1950000,9,0.0309,252000,App,844,0.0881,Automática,Finalizado,0,0,0,1.0,0,34,F,3,Bachiller,Independiente,2860000.0,631.0,App orgánico,True,3,Android,0,0,9,204,4,1,1,0,2,0,0,0.7777777777777778,0.2222222222222222,190.11111111111111,1.0
CR000388,CL00355,2025-03-06,Crédito consumo digital,1600000,18,0.0311,117000,Call center,891,0.06,Automática,Activo,0,0,0,1.0,0,36,M,3,Universitario,Empleado,1950000.0,646.0,App orgánico,False,0,iOS,0,0,9,430,4,0,3,1,0,0,1,0.7777777777777778,0.0,77.33333333333333,0.0
CR000389,CL00356,2025-11-13,Crédito consumo digital,1250000,18,0.0303,91000,Aliado,820,0.0446,Automática,Activo,0,0,0,0.8333333333333334,0,26,F,4,Sin información,Comerciante,2040000.0,545.0,Referido,False,1,iOS,0,0,8,733,1,2,1,1,1,0,1,0.625,0.125,178.375,0.5
CR000390,CL00357,2025-06-25,Crédito libre inversión,950000,3,0.0258,333000,Aliado,719,0.2622,Automática,Finalizado,0,0,5,0.3333333333333333,2,36,M,2,Técnico/Tecnólogo,Conductor/Repartidor,1270000.0,434.0,Campaña digital,False,0,iOS,0,0,12,880,5,2,0,0,2,0,2,0.6666666666666666,0.16666666666666666,159.16666666666666,0.0
CR000391,CL00357,2024-10-17,Microcrédito,1050000,12,0.0269,104000,Web,740,0.0819,Automática,Mora severa,0,1,86,0.3333333333333333,4,36,M,2,Técnico/Tecnólogo,Conductor/Repartidor,1270000.0,434.0,Campaña digital,False,0,iOS,0,0,12,880,5,2,0,0,2,0,2,0.6666666666666666,0.16666666666666666,159.16666666666666,0.0
CR000392,CL00358,2024-02-24,Microcrédito,8050000,9,0.0333,1050000,App,878,0.3088,Automática,Finalizado,0,0,0,1.0,0,33,M,3,Universitario,Empleado,3400000.0,598.0,Call center,False,3,iOS,0,0,11,758,5,1,2,1,1,0,0,0.8181818181818182,0.09090909090909091,220.8181818181818,2.0
CR000394,CL00362,2024-10-25,Avance de nómina,800000,12,0.0244,78000,App,820,0.0438,Automática,Mora severa,0,1,82,0.5,3,51,M,4,Universitario,Conductor/Repartidor,1780000.0,479.0,Referido,False,4,Android,0,0,10,469,3,1,0,1,3,1,0,0.6,0.3,265.4,0.0
CR000395,CL00363,2024-08-01,Crédito libre inversión,2950000,6,0.0202,527000,Aliado,900,0.1514,Automática,Finalizado,0,0,0,1.0,0,35,M,3,Técnico/Tecnólogo,Microempresario,3480000.0,661.0,App orgánico,False,1,Android,0,0,18,766,9,4,1,0,2,0,2,0.7777777777777778,0.1111111111111111,115.94444444444444,0.25
CR000396,CL00363,2024-02-13,Avance de nómina,1700000,12,0.0214,162000,Aliado,900,0.0466,Automática,Finalizado,0,0,0,1.0,0,35,M,3,Técnico/Tecnólogo,Microempresario,3480000.0,661.0,App orgánico,False,1,Android,0,0,18,766,9,4,1,0,2,0,2,0.7777777777777778,0.1111111111111111,115.94444444444444,0.25
CR000397,CL00364,2026-02-13,Crédito consumo digital,2250000,6,0.0323,418000,App,884,0.1614,Automática,Activo,0,0,0,0.6666666666666666,0,40,M,3,Sin información,Conductor/Repartidor,2590000.0,530.0,App orgánico,False,0,Android,0,0,16,466,5,1,3,1,2,0,3,0.75,0.0,150.375,3.0
CR000399,CL00366,2026-01-06,Avance de nómina,1200000,12,0.0214,114000,App,897,0.0432,Automática,Activo,0,0,0,0.75,0,32,F,2,Posgrado,Comerciante,2640000.0,662.0,Campaña digital,False,0,Web,0,0,7,182,4,0,0,0,0,2,1,0.8571428571428571,0.0,282.14285714285717,0.0
CR000400,CL00366,2025-10-23,Crédito consumo digital,1750000,18,0.0321,130000,Web,877,0.0492,Automática,Activo,0,0,0,1.0,0,32,F,2,Posgrado,Comerciante,2640000.0,662.0,Campaña digital,False,0,Web,0,0,7,182,4,0,0,0,0,2,1,0.8571428571428571,0.0,282.14285714285717,0.0
CR000401,CL00368,2025-11-17,Microcrédito,2300000,12,0.0428,249000,Web,571,0.1215,Manual,Activo,0,0,13,0.8,1,36,F,2,Universitario,Comerciante,2050000.0,588.0,Call center,False,3,Android,1,0,7,440,5,1,1,0,0,0,0,0.7142857142857143,0.2857142857142857,164.85714285714286,1.0
CR000402,CL00369,2025-12-28,Crédito consumo digital,1250000,12,0.0363,130000,App,795,0.0588,Automática,Activo,0,0,0,1.0,0,37,M,3,Universitario,Empleado,2210000.0,569.0,Campaña digital,False,0,Web,0,0,16,741,3,3,0,1,6,1,1,0.75,0.125,188.5625,0.0
CR000403,CL00369,2025-02-07,Crédito libre inversión,3550000,9,0.0277,451000,Web,816,0.2041,Automática,Mora moderada,0,1,38,0.5,3,37,M,3,Universitario,Empleado,2210000.0,569.0,Campaña digital,False,0,Web,0,0,16,741,3,3,0,1,6,1,1,0.75,0.125,188.5625,0.0
CR000404,CL00369,2024-09-10,Avance de nómina,850000,9,0.0261,107000,Aliado,900,0.0484,Automática,Finalizado,0,0,0,1.0,0,37,M,3,Universitario,Empleado,2210000.0,569.0,Campaña digital,False,0,Web,0,0,16,741,3,3,0,1,6,1,1,0.75,0.125,188.5625,0.0
CR000406,CL00372,2024-07-11,Crédito consumo digital,1700000,9,0.033,221000,Aliado,900,0.0505,Automática,Finalizado,0,0,0,1.0,0,41,F,2,Universitario,Empleado,4380000.0,707.0,App orgánico,True,4,Web,0,0,11,768,2,2,2,2,2,1,0,0.6363636363636364,0.18181818181818182,156.0909090909091,1.0
CR000407,CL00374,2024-05-02,Crédito libre inversión,1700000,18,0.0171,110000,Web,566,0.0618,Manual,Finalizado,0,0,24,0.8333333333333334,1,46,F,1,Universitario,Conductor/Repartidor,1780000.0,588.0,Referido,False,4,iOS,1,0,6,477,1,0,3,0,1,0,1,0.5,0.3333333333333333,194.33333333333334,0.0
CR000408,CL00375,2023-04-11,Microcrédito,3200000,12,0.0251,312000,App,851,0.1345,Automática,Mora severa,0,1,106,0.6666666666666666,2,58,F,4,Técnico/Tecnólogo,Conductor/Repartidor,2320000.0,603.0,App orgánico,False,0,Web,0,0,14,951,5,2,1,0,1,2,0,0.8571428571428571,0.14285714285714285,192.21428571428572,0.5
CR000409,CL00375,2023-08-07,Microcrédito,2700000,6,0.0374,511000,App,787,0.2203,Automática,Mora moderada,0,1,55,0.5,3,58,F,4,Técnico/Tecnólogo,Conductor/Repartidor,2320000.0,603.0,App orgánico,False,0,Web,0,0,14,951,5,2,1,0,1,2,0,0.8571428571428571,0.14285714285714285,192.21428571428572,0.5
CR000410,CL00376,2024-06-26,Avance de nómina,450000,12,0.029,45000,Call center,883,0.015,Automática,Finalizado,0,0,0,1.0,0,28,M,3,Sin información,Empleado,3010000.0,566.0,App orgánico,False,2,Android,0,0,22,1076,7,2,5,1,2,0,3,0.6363636363636364,0.18181818181818182,145.86363636363637,2.5
CR000411,CL00376,2025-08-11,Crédito consumo digital,800000,9,0.0319,104000,Aliado,790,0.0346,Automática,Activo,0,0,0,1.0,0,28,M,3,Sin información,Empleado,3010000.0,566.0,App orgánico,False,2,Android,0,0,22,1076,7,2,5,1,2,0,3,0.6363636363636364,0.18181818181818182,145.86363636363637,2.5
CR000412,CL00376,2023-05-02,Crédito libre inversión,1750000,3,0.0196,606000,Aliado,860,0.2013,Automática,Finalizado,0,0,0,1.0,0,28,M,3,Sin información,Empleado,3010000.0,566.0,App orgánico,False,2,Android,0,0,22,1076,7,2,5,1,2,0,3,0.6363636363636364,0.18181818181818182,145.86363636363637,2.5
CR000414,CL00378,2026-01-06,Crédito consumo digital,900000,12,0.0225,86000,Aliado,704,0.0497,Automática,Activo,0,0,24,0.5,1,38,M,1,Técnico/Tecnólogo,Independiente,1730000.0,471.0,Campaña digital,False,2,Android,0,0,14,483,7,1,3,0,1,0,0,0.7142857142857143,0.2857142857142857,129.57142857142858,3.0
CR000415,CL00378,2026-01-18,Crédito libre inversión,1800000,3,0.017,621000,Web,677,0.359,Manual,Mora moderada,0,1,43,0.6666666666666666,1,38,M,1,Técnico/Tecnólogo,Independiente,1730000.0,471.0,Campaña digital,False,2,Android,0,0,14,483,7,1,3,0,1,0,0,0.7142857142857143,0.2857142857142857,129.57142857142858,3.0
CR000416,CL00379,2024-10-31,Crédito libre inversión,2950000,9,0.0246,369000,Web,873,0.0979,Automática,Mora moderada,0,0,11,0.8333333333333334,1,58,M,2,Universitario,Empleado,3770000.0,731.0,Aliado comercial,False,1,Android,0,0,9,592,4,1,0,0,2,0,0,1.0,0.0,135.22222222222223,0.0
CR000417,CL00380,2025-11-24,Crédito consumo digital,2700000,9,0.0341,353000,App,786,0.1293,Automática,Activo,0,0,0,1.0,0,28,F,2,Bachiller,Empleado,2730000.0,573.0,Aliado comercial,True,3,Android,0,0,17,224,8,2,2,1,1,1,1,0.7647058823529411,0.11764705882352941,181.11764705882354,1.0
CR000418,CL00380,2025-10-23,Crédito libre inversión,3000000,6,0.018,532000,App,867,0.1949,Automática,Finalizado,0,0,0,1.0,0,28,F,2,Bachiller,Empleado,2730000.0,573.0,Aliado comercial,True,3,Android,0,0,17,224,8,2,2,1,1,1,1,0.7647058823529411,0.11764705882352941,181.11764705882354,1.0
CR000420,CL00381,2023-11-22,Crédito consumo digital,900000,9,0.0223,111000,Aliado,747,0.073,Automática,Mora severa,0,0,28,0.5,3,28,F,3,Universitario,Independiente,1520000.0,503.0,Campaña digital,True,3,Android,0,0,10,869,5,0,1,0,3,0,1,0.7,0.2,202.1,0.0
CR000421,CL00382,2025-09-27,Crédito libre inversión,6800000,3,0.0339,2422000,App,900,0.3387,Automática,Finalizado,0,0,0,1.0,0,30,F,4,Universitario,Empleado,7150000.0,730.0,Aliado comercial,True,0,Android,0,0,11,418,3,3,0,1,2,0,1,0.6363636363636364,0.18181818181818182,119.18181818181819,0.0
CR000422,CL00383,2025-07-18,Microcrédito,3350000,9,0.0324,435000,App,869,0.1154,Automática,Mora moderada,0,0,5,0.8333333333333334,1,19,M,3,Sin información,Independiente,3770000.0,500.0,Campaña digital,False,1,Android,0,0,15,833,2,2,3,0,4,0,2,0.7333333333333333,0.13333333333333333,141.53333333333333,1.5
CR000423,CL00383,2026-01-02,Crédito consumo digital,1350000,9,0.0356,178000,Web,795,0.0472,Automática,Activo,0,0,0,0.75,0,19,M,3,Sin información,Independiente,3770000.0,500.0,Campaña digital,False,1,Android,0,0,15,833,2,2,3,0,4,0,2,0.7333333333333333,0.13333333333333333,141.53333333333333,1.5
CR000424,CL00384,2025-05-22,Crédito consumo digital,4150000,18,0.0323,308000,Aliado,877,0.0725,Automática,Activo,0,0,0,1.0,0,31,F,5,Bachiller,Microempresario,4250000.0,611.0,Aliado comercial,True,1,Android,0,0,16,78,3,1,3,1,3,1,1,0.875,0.0,169.3125,3.0
CR000425,CL00384,2026-02-13,Microcrédito,2950000,12,0.0289,294000,App,900,0.0692,Automática,Activo,0,0,0,0.6666666666666666,0,31,F,5,Bachiller,Microempresario,4250000.0,611.0,Aliado comercial,True,1,Android,0,0,16,78,3,1,3,1,3,1,1,0.875,0.0,169.3125,3.0
CR000426,CL00385,2026-01-13,Crédito consumo digital,1300000,12,0.0269,128000,Aliado,848,0.0604,Automática,Activo,0,0,0,0.75,0,28,M,2,Posgrado,Conductor/Repartidor,2120000.0,565.0,App orgánico,False,0,iOS,0,0,4,616,1,0,0,0,2,0,1,0.75,0.0,228.75,0.0
CR000427,CL00386,2024-03-09,Crédito consumo digital,2100000,6,0.0237,380000,Web,780,0.1467,Automática,Mora severa,0,1,117,0.5,3,38,M,4,Técnico/Tecnólogo,Conductor/Repartidor,2590000.0,473.0,Campaña digital,False,1,Android,0,0,14,757,3,2,3,1,4,1,0,0.7857142857142857,0.14285714285714285,201.42857142857142,1.5
CR000428,CL00386,2025-10-15,Crédito consumo digital,1150000,18,0.036,88000,App,794,0.034,Automática,Mora moderada,0,0,30,0.6666666666666666,2,38,M,4,Técnico/Tecnólogo,Conductor/Repartidor,2590000.0,473.0,Campaña digital,False,1,Android,0,0,14,757,3,2,3,1,4,1,0,0.7857142857142857,0.14285714285714285,201.42857142857142,1.5
CR000429,CL00387,2025-12-26,Crédito libre inversión,3700000,6,0.028,678000,App,679,0.2638,Automática,Mora moderada,0,1,39,0.25,3,39,M,2,Universitario,Comerciante,2640000.0,469.0,Campaña digital,False,2,iOS,0,0,6,176,1,1,2,0,2,0,0,1.0,0.0,181.5,2.0
CR000430,CL00389,2025-08-31,Crédito libre inversión,6650000,24,0.0221,360000,App,877,0.1682,Automática,Activo,0,0,0,1.0,0,46,No informa,1,Técnico/Tecnólogo,Empleado,2140000.0,670.0,Referido,False,0,iOS,0,0,7,403,1,1,1,0,3,1,0,1.0,0.0,202.71428571428572,1.0
